id,name,team_id,age,country,pos,salary,contract_duration,contract_type,expiry_type,rating,status
1,Ray Whitney,7,35,ca,,7.000,1,signed,UFA,,nhl
2,John Madden,7,34,ca,,2.938,2,signed,UFA,,nhl
3,Martin Lapointe,7,33,ca,,2.400,1,signed,UFA,,nhl
4,Kris Draper,7,36,ca,,2.128,1,signed,UFA,,nhl
5,Tuomo Ruutu,7,24,fi,,1.500,1,signed,RFA,,nhl
6,Radim Vrbata,7,26,cz,,1.225,1,signed,UFA,,nhl
7,Jarkko Ruutu,7,32,fi,,1.150,1,signed,UFA,,nhl
8,Wayne Primeau,7,31,ca,,1.000,1,signed,UFA,,nhl
9,Scottie Upshall,7,23,ca,,1.000,2,signed,RFA,,nhl
10,Patrick Kane,7,18,us,RW,0.850,3,signed,RFA,9.5A,nhl
11,Rene Bourque,7,25,ca,,0.750,1,signed,RFA,,nhl
12,Patrick Sharp,7,25,ca,,0.725,1,signed,RFA,,nhl
13,Troy Brouwer,7,22,ca,,0.675,2,signed,RFA,,nhl
14,Mathieu Schneider,7,37,us,,7.000,1,signed,UFA,,nhl
15,Adrian Aucoin,7,34,ca,,4.000,2,signed,UFA,,nhl
16,Marek Malik,7,32,cz,,2.500,1,signed,UFA,,nhl
17,Jassen Cullimore,7,34,ca,,1.900,1,signed,UFA,,nhl
18,Duncan Keith,7,24,ca,,1.000,3,signed,RFA,,nhl
19,Brent Seabrook,7,22,ca,,0.942,1,signed,RFA,,nhl
20,Dustin Byfuglien,7,22,us,,0.648,1,signed,RFA,,nhl
21,Corey Crawford,7,22,ca,,0.892,1,signed,RFA,,nhl
22,Brian Boucher,7,30,us,,0.650,1,signed,UFA,,nhl
23,Shean Donovan,7,32,ca,,0.925,1,signed,UFA,,minors
24,Michael Blunden,7,20,ca,C/RW,0.685,2,signed,RFA,,minors
25,Logan MacMillan,7,18,ca,C,0.600,3,signed,RFA,8.0D,minors
26,John Hughes,7,18,ca,C,0.600,3,signed,RFA,6.0D,minors
27,Ben Eager,7,23,ca,,0.600,2,signed,RFA,,minors
28,Adam Burish,7,24,us,,0.575,1,signed,RFA,,minors
29,Lasse Kukkonen,7,25,fi,LD/RD,0.500,1,signed,RFA,,minors
30,Jeremy Dunbar,7,18,us,RD/LD,0.500,3,signed,RFA,9.0F,college
31,Danny Richmond,7,23,us,LD,0.500,1,signed,RFA,,minors
32,Nik Hjalmarsson,7,20,se,RD/LD,0.450,3,signed,RFA,,minors
33,Jonathan Toews,7,19,ca,C/LW/RW,0.000,0,signed,RFA,,college
34,Mats Sundin,6,36,se,,6,5,signed,UFA,,nhl
35,Daniel Briere,6,29,ca,,5.5,5,signed,UFA,,nhl
36,Rod Brind'Amour,6,37,ca,,4,4,signed,UFA,,nhl
37,Justin Williams,6,25,ca,,3.5,5,signed,UFA,,nhl
38,Darcy Tucker,6,32,ca,,2.5,1,signed,UFA,,nhl
39,Erik Cole,6,28,us,,1.75,2,signed,UFA,,nhl
40,Cory Stillman,6,33,ca,,1.75,1,signed,UFA,,nhl
41,Eric Lindros,6,34,ca,,1.51,4,signed,UFA,,nhl
42,Scott Walker,6,34,ca,,1.2,3,signed,UFA,,nhl
43,Evgeni Malkin,6,21,ru,,0.984,2,signed,RFA,,nhl
44,Colby Armstrong,6,24,ca,,0.7,2,signed,RFA,,nhl
45,Trevor Letowski,6,30,ca,,0.8,1,signed,UFA,,nhl
46,Adam Foote,6,36,ca,,4.6,1,signed,UFA,,nhl
47,Frantisek Kaberle,6,33,cz,,2.2,3,signed,UFA,,nhl
48,Niclas Wallin,6,32,se,,1.725,3,signed,UFA,,nhl
49,Mike Commodore,6,27,ca,,1.2,1,signed,UFA,,nhl
50,Sandis Ozolinsh,6,35,lt,,1,2,signed,RFA,,nhl
51,David Tanabe,6,27,us,RD,0.5,2,signed,UFA,,nhl
52,Cam Ward,6,23,ca,G,4.425,2,signed,RFA,,nhl
53,John Grahame,6,32,us,G,1.4,1,signed,UFA,,nhl
54,Tim Gleason,6,24,us,RD/LD,1.175,1,signed,RFA,,minors
55,Paul Gaustad,6,25,us,C/LW,0.675,1,signed,RFA,,minors
56,Tyler Kennedy,6,21,ca,C,0.54,2,signed,RFA,,minors
57,Brett Carson,6,21,ca,RD,0.51,2,signed,RFA,,minors
58,Zac Chaput,6,18,ca,RW/LW,0.5,3,signed,COLLEGE,7.5D,minors
59,Justin Forrest,6,26,us,LD/RD,0.5,1,signed,RFA,,minors
60,Harrison Reed,6,19,ca,RW/C,0.45,3,signed,RFA,,minors
61,Justin Peters,6,21,ca,G,0.45,2,signed,RFA,,minors
